#																
#	Time	dependensources	ate	Rivers	and											
#	Q1	is	river	Fal;	Q2	is	river	tressiliQ3	is	the	Truro;	Q4	is	the	STW	
T	Q(1)	 TR(1,1) 	 TR(1,2) 	 TR(1,3) 	Q(2)	 TR(2,1) 	 TR(2,2) 	 TR(2,3) 	Q(3)	 TR(3,1) 	 TR(3,2) 	 TR(3,3) 	Q(4)	 TR(4,1) 	 TR(4,2) 	 TR(4,3) 
s	m3/s	C	PSU	CFU100mL	m3/s	C	PSU	CFU100mLm3/s	m3/s	C	PSU	CFU100mLm3/s	m3/s	C	PSU	CFU100mL
212400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
216000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
219600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
223200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
226800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
230400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
234000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
237600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
241200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
244800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
248400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
252000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
255600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
259200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
262800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
266400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
270000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
273600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
277200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
280800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
284400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
288000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
291600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
295200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
298800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
302400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
306000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
309600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
313200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
316800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
320400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
324000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
327600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
331200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
334800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
338400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
342000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
345600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
349200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
352800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
356400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
360000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
363600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
367200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
370800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
374400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
378000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
381600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
385200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
388800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
392400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
396000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
399600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
403200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
406800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
410400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
414000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
417600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
421200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
424800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
428400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
432000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
435600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
439200	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
442800	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
446400	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
450000	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
453600	2.025	8.5	1	0	1.2	8.5	1	0	0.377	8.5	1	0	0.127	10	1	100
